raw_description,project_type,city,area_m2,floors,finishing_level,confidence,source
Development of a Factory in Buraydah with a total area of 7827 square meters across 30 floors.,Factory,Buraydah,8026,29,Luxury,83,synthetic
"Project: School in Dammam, built-up area 15488 sqm, 6 floors. Quality finishing required.",School,Dammam,15265,6,Standard,84,synthetic
Development of a Luxury_Villa in Najran with a total area of 5541 square meters across 17 floors.,Luxury_Villa,Najran,5327,16,Premium,83,synthetic
Government_Building Riyadh على أرض مساحتها 33434 م²، مساحة البناء 18902 م²، 25 أدوار.,Government_Building,Riyadh,17988,23,Good,90,synthetic
مشروع Apartment_Building في Hail بمساحة 7695 م² وعدد 2 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Hail,7522,2,Luxury,94,synthetic
Development of a Government_Building in Buraydah with a total area of 13310 square meters across 9 floors.,Government_Building,Buraydah,13658,9,Raw,98,synthetic
مشروع School في Khamis Mushait بمساحة 5174 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,School,Khamis Mushait,4874,17,Standard,61,synthetic
مشروع DataCenter في Riyadh بمساحة 4742 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,DataCenter,Riyadh,4724,13,Luxury,94,synthetic
"Project: Mosque in Khamis Mushait, built-up area 19872 sqm, 15 floors. Quality finishing required.",Mosque,Khamis Mushait,20074,15,Standard,69,synthetic
"Project: Hotel in Hail, built-up area 11159 sqm, 24 floors. Quality finishing required.",Hotel,Hail,11147,25,Luxury,88,synthetic
إنشاء University في مدينة Taif بمساحة إجمالية 19265 متر مربع مكون من 12 طوابق.,University,Taif,18768,12,UltraLuxury,82,synthetic
إنشاء University في مدينة Makkah بمساحة إجمالية 8106 متر مربع مكون من 13 طوابق.,University,Makkah,8618,13,Luxury,97,synthetic
Mosque Madinah على أرض مساحتها 22979 م²، مساحة البناء 12263 م²، 28 أدوار.,Mosque,Madinah,12127,28,Good,70,synthetic
University Dammam على أرض مساحتها 5213 م²، مساحة البناء 3155 م²، 22 أدوار.,University,Dammam,3232,22,Standard,77,synthetic
"Project: Residential_Tower in Makkah, built-up area 10797 sqm, 14 floors. Quality finishing required.",Residential_Tower,Makkah,10875,14,Premium,79,synthetic
"Project: Mall in Riyadh, built-up area 6027 sqm, 25 floors. Quality finishing required.",Mall,Riyadh,6137,25,Raw,96,synthetic
"Project: Mosque in Hail, built-up area 1549 sqm, 21 floors. Quality finishing required.",Mosque,Hail,1586,22,Premium,66,synthetic
"Project: Hotel in Hail, built-up area 12524 sqm, 9 floors. Quality finishing required.",Hotel,Hail,12098,9,Good,65,synthetic
مشروع Bridge في Dammam بمساحة 4035 م² وعدد 13 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Bridge,Dammam,4280,13,Good,73,synthetic
Hotel Najran على أرض مساحتها 36989 م²، مساحة البناء 11829 م²، 22 أدوار.,Hotel,Najran,12268,22,Premium,93,synthetic
"Project: Mosque in Dammam, built-up area 912 sqm, 12 floors. Quality finishing required.",Mosque,Dammam,878,11,Luxury,87,synthetic
إنشاء CommercialComplex في مدينة Hail بمساحة إجمالية 10197 متر مربع مكون من 24 طوابق.,CommercialComplex,Hail,10272,25,Luxury,74,synthetic
مشروع University في Tabuk بمساحة 16893 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Tabuk,17344,18,Raw,79,synthetic
"Project: Warehouse in Najran, built-up area 13579 sqm, 22 floors. Quality finishing required.",Warehouse,Najran,13819,22,UltraLuxury,86,synthetic
إنشاء Luxury_Villa في مدينة Makkah بمساحة إجمالية 13983 متر مربع مكون من 12 طوابق.,Luxury_Villa,Makkah,13960,12,Raw,89,synthetic
إنشاء Bridge في مدينة Tabuk بمساحة إجمالية 16405 متر مربع مكون من 21 طوابق.,Bridge,Tabuk,16360,20,Good,61,synthetic
Development of a Mall in Jeddah with a total area of 10410 square meters across 25 floors.,Mall,Jeddah,10465,25,Luxury,76,synthetic
مشروع Government_Building في Madinah بمساحة 1264 م² وعدد 9 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Government_Building,Madinah,1280,9,Good,76,synthetic
Apartment_Building Buraydah على أرض مساحتها 20199 م²، مساحة البناء 8309 م²، 4 أدوار.,Apartment_Building,Buraydah,8372,4,Good,70,synthetic
مشروع Office_Building في Madinah بمساحة 16669 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Madinah,16381,16,Premium,86,synthetic
Development of a Office_Building in Riyadh with a total area of 19877 square meters across 18 floors.,Office_Building,Riyadh,19216,18,UltraLuxury,74,synthetic
Warehouse Taif على أرض مساحتها 37181 م²، مساحة البناء 16196 م²، 19 أدوار.,Warehouse,Taif,15663,18,UltraLuxury,80,synthetic
مشروع Apartment_Building في Buraydah بمساحة 2709 م² وعدد 29 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Apartment_Building,Buraydah,2663,27,Raw,68,synthetic
مشروع Mall في Madinah بمساحة 6649 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Madinah,6360,7,Standard,89,synthetic
Development of a Bridge in Khamis Mushait with a total area of 14392 square meters across 19 floors.,Bridge,Khamis Mushait,14059,19,Luxury,96,synthetic
إنشاء Road في مدينة Tabuk بمساحة إجمالية 2579 متر مربع مكون من 21 طوابق.,Road,Tabuk,2506,21,Luxury,72,synthetic
مشروع Hospital في Khamis Mushait بمساحة 5563 م² وعدد 15 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Khamis Mushait,5698,15,UltraLuxury,73,synthetic
إنشاء Mall في مدينة Makkah بمساحة إجمالية 17666 متر مربع مكون من 20 طوابق.,Mall,Makkah,17214,21,Good,72,synthetic
إنشاء Road في مدينة Khobar بمساحة إجمالية 3643 متر مربع مكون من 7 طوابق.,Road,Khobar,3600,7,Raw,73,synthetic
إنشاء Bridge في مدينة Buraydah بمساحة إجمالية 3716 متر مربع مكون من 30 طوابق.,Bridge,Buraydah,3780,29,Premium,67,synthetic
"Project: Residential_Tower in Tabuk, built-up area 18181 sqm, 12 floors. Quality finishing required.",Residential_Tower,Tabuk,17733,12,UltraLuxury,92,synthetic
إنشاء Mall في مدينة Najran بمساحة إجمالية 15565 متر مربع مكون من 28 طوابق.,Mall,Najran,15695,27,Luxury,87,synthetic
"Project: Office_Building in Jeddah, built-up area 15386 sqm, 1 floors. Quality finishing required.",Office_Building,Jeddah,14625,1,UltraLuxury,91,synthetic
مشروع Office_Building في Jeddah بمساحة 14791 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Office_Building,Jeddah,14074,8,Luxury,64,synthetic
CommercialComplex Jeddah على أرض مساحتها 61120 م²، مساحة البناء 18908 م²، 30 أدوار.,CommercialComplex,Jeddah,18661,31,Raw,72,synthetic
University Abha على أرض مساحتها 24829 م²، مساحة البناء 10304 م²، 26 أدوار.,University,Abha,10723,27,UltraLuxury,76,synthetic
مشروع Parking في Abha بمساحة 13888 م² وعدد 14 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Parking,Abha,13135,14,Standard,79,synthetic
"Project: CommercialComplex in Makkah, built-up area 12155 sqm, 29 floors. Quality finishing required.",CommercialComplex,Makkah,12146,29,UltraLuxury,84,synthetic
Development of a Hotel in Buraydah with a total area of 6582 square meters across 24 floors.,Hotel,Buraydah,6840,24,UltraLuxury,81,synthetic
إنشاء Warehouse في مدينة Khobar بمساحة إجمالية 4637 متر مربع مكون من 6 طوابق.,Warehouse,Khobar,4815,6,Raw,93,synthetic
Development of a DataCenter in Riyadh with a total area of 4977 square meters across 8 floors.,DataCenter,Riyadh,5280,8,Good,62,synthetic
Mall Hail على أرض مساحتها 35129 م²، مساحة البناء 14097 م²، 9 أدوار.,Mall,Hail,13688,9,Standard,83,synthetic
Parking Najran على أرض مساحتها 29626 م²، مساحة البناء 9664 م²، 15 أدوار.,Parking,Najran,9295,15,Good,61,synthetic
"Project: Hotel in Riyadh, built-up area 5890 sqm, 9 floors. Quality finishing required.",Hotel,Riyadh,5791,9,UltraLuxury,94,synthetic
إنشاء Hospital في مدينة Dammam بمساحة إجمالية 14304 متر مربع مكون من 15 طوابق.,Hospital,Dammam,14582,15,Premium,96,synthetic
مشروع Hospital في Khamis Mushait بمساحة 13436 م² وعدد 9 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Hospital,Khamis Mushait,12888,9,Luxury,66,synthetic
إنشاء Parking في مدينة Madinah بمساحة إجمالية 8969 متر مربع مكون من 10 طوابق.,Parking,Madinah,8233,10,Raw,67,synthetic
إنشاء Residential_Compound في مدينة Khamis Mushait بمساحة إجمالية 1591 متر مربع مكون من 2 طوابق.,Residential_Compound,Khamis Mushait,1662,2,Standard,80,synthetic
مشروع Warehouse في Abha بمساحة 1154 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Abha,1116,19,UltraLuxury,92,synthetic
مشروع Mall في Hail بمساحة 11885 م² وعدد 19 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Mall,Hail,11834,19,Raw,74,synthetic
Development of a Bridge in Khobar with a total area of 19237 square meters across 9 floors.,Bridge,Khobar,20457,9,Standard,65,synthetic
Bridge Hail على أرض مساحتها 38167 م²، مساحة البناء 11624 م²، 20 أدوار.,Bridge,Hail,11232,20,Good,96,synthetic
Development of a University in Buraydah with a total area of 9428 square meters across 25 floors.,University,Buraydah,9691,26,Premium,96,synthetic
"Project: Road in Dammam, built-up area 13607 sqm, 12 floors. Quality finishing required.",Road,Dammam,13608,12,Good,63,synthetic
إنشاء Hotel في مدينة Buraydah بمساحة إجمالية 19207 متر مربع مكون من 20 طوابق.,Hotel,Buraydah,18876,20,UltraLuxury,89,synthetic
إنشاء Government_Building في مدينة Madinah بمساحة إجمالية 15239 متر مربع مكون من 10 طوابق.,Government_Building,Madinah,15472,10,UltraLuxury,97,synthetic
"Project: Luxury_Villa in Buraydah, built-up area 3747 sqm, 7 floors. Quality finishing required.",Luxury_Villa,Buraydah,3465,7,Good,70,synthetic
إنشاء CommercialComplex في مدينة Khamis Mushait بمساحة إجمالية 12033 متر مربع مكون من 17 طوابق.,CommercialComplex,Khamis Mushait,11879,16,Standard,64,synthetic
"Project: Residential_Compound in Dammam, built-up area 11522 sqm, 10 floors. Quality finishing required.",Residential_Compound,Dammam,11331,10,Premium,81,synthetic
مشروع Townhouse_Project في Tabuk بمساحة 3712 م² وعدد 21 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Townhouse_Project,Tabuk,3745,21,Luxury,89,synthetic
Development of a Villa in Khobar with a total area of 8862 square meters across 28 floors.,Villa,Khobar,9267,28,Raw,83,synthetic
Development of a Apartment_Building in Buraydah with a total area of 9944 square meters across 6 floors.,Apartment_Building,Buraydah,9941,6,Premium,77,synthetic
إنشاء Luxury_Villa في مدينة Najran بمساحة إجمالية 10626 متر مربع مكون من 30 طوابق.,Luxury_Villa,Najran,11071,29,Good,77,synthetic
Development of a Road in Khobar with a total area of 15487 square meters across 26 floors.,Road,Khobar,15904,26,Raw,67,synthetic
مشروع Warehouse في Najran بمساحة 1555 م² وعدد 17 أدوار. يشمل المبنى تشطيبات عالية الجودة.,Warehouse,Najran,1475,17,UltraLuxury,60,synthetic
University Makkah على أرض مساحتها 23656 م²، مساحة البناء 8838 م²، 7 أدوار.,University,Makkah,8846,7,Premium,97,synthetic
إنشاء Mosque في مدينة Makkah بمساحة إجمالية 18831 متر مربع مكون من 8 طوابق.,Mosque,Makkah,18935,8,Good,82,synthetic
إنشاء Mall في مدينة Buraydah بمساحة إجمالية 4675 متر مربع مكون من 5 طوابق.,Mall,Buraydah,4741,5,Luxury,95,synthetic
Villa Buraydah على أرض مساحتها 10479 م²، مساحة البناء 3308 م²، 6 أدوار.,Villa,Buraydah,3466,6,UltraLuxury,91,synthetic
مشروع University في Khobar بمساحة 16144 م² وعدد 8 أدوار. يشمل المبنى تشطيبات عالية الجودة.,University,Khobar,16404,7,Luxury,74,synthetic
"Project: Factory in Buraydah, built-up area 5803 sqm, 25 floors. Quality finishing required.",Factory,Buraydah,5764,23,Premium,93,synthetic
إنشاء Hospital في مدينة Khobar بمساحة إجمالية 3838 متر مربع مكون من 21 طوابق.,Hospital,Khobar,4051,21,Standard,76,synthetic
Parking Taif على أرض مساحتها 12285 م²، مساحة البناء 8210 م²، 12 أدوار.,Parking,Taif,8240,12,Standard,64,synthetic
Development of a Government_Building in Dammam with a total area of 14772 square meters across 13 floors.,Government_Building,Dammam,14889,14,Raw,90,synthetic
"Project: Villa in Madinah, built-up area 14377 sqm, 13 floors. Quality finishing required.",Villa,Madinah,14594,13,Premium,66,synthetic
إنشاء Villa في مدينة Tabuk بمساحة إجمالية 9723 متر مربع مكون من 9 طوابق.,Villa,Tabuk,9605,9,Luxury,77,synthetic
"Project: Warehouse in Madinah, built-up area 18136 sqm, 28 floors. Quality finishing required.",Warehouse,Madinah,17744,27,Luxury,89,synthetic
Development of a Apartment_Building in Khobar with a total area of 517 square meters across 27 floors.,Apartment_Building,Khobar,530,26,UltraLuxury,81,synthetic
إنشاء School في مدينة Madinah بمساحة إجمالية 18073 متر مربع مكون من 7 طوابق.,School,Madinah,18043,7,UltraLuxury,76,synthetic
"Project: Mall in Taif, built-up area 6573 sqm, 15 floors. Quality finishing required.",Mall,Taif,6687,16,Luxury,83,synthetic
